Textbox_UWAGA2,Textbox_PARAMETRY
RETAIL PRICES OF SELECTED CONSUMER NON-FOODSTUFFS AND SERVICES - MONTHLY [ZL],"Year: 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023
Month: I, II, III, IV, V, VI, VII, VIII, IX, X, XI, XII
Territorial unit: Poland"

Textbox2,KOD_TOWARY_NZYWN,KOD_ROKU,WARTOSC_OST_blok9
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2019 IV,107.43
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2019 V,108.75
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2019 VI,108.10
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2019 VII,107.22
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2019 VIII,107.47
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2019 IX,109.53
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2019 X,111.27
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2019 XI,112.14
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2019 XII,110.89
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2020 I,112.51
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2020 II,113.96
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2020 III,113.86
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2020 IV,112.51
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2020 V,113.16
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2020 VI,114.78
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2020 VII,114.80
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2020 VIII,114.41
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2020 IX,115.91
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2020 X,117.45
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2020 XI,115.60
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2020 XII,114.56
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2021 I,113.15
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2021 II,113.75
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2021 III,115.11
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2021 IV,116.23
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2021 V,117.42
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2021 VI,116.50
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2021 VII,116.71
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2021 VIII,116.82
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2021 IX,119.57
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2021 X,122.32
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2021 XI,123.95
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2021 XII,125.39
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2022 I,126.11
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2022 II,127.31
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2022 III,129.24
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2022 IV,129.82
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2022 V,130.34
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2022 VI,131.91
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2022 VII,131.64
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2022 VIII,132.87
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2022 IX,137.24
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2022 X,139.86
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2022 XI,139.83
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2022 XII,140.53
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2023 I,140.37
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2023 II,141.87
Specification,"Men’s shirt, polyester staple fibres and cotton, long sleeve",2023 III,144.09
Specification,"Trousers (aged 6-11), jeans type",2010 I,60.99
Specification,"Trousers (aged 6-11), jeans type",2010 II,60.03
Specification,"Trousers (aged 6-11), jeans type",2010 III,62.36
Specification,"Trousers (aged 6-11), jeans type",2010 IV,63.42
Specification,"Trousers (aged 6-11), jeans type",2010 V,63.11
Specification,"Trousers (aged 6-11), jeans type",2010 VI,62.08
Specification,"Trousers (aged 6-11), jeans type",2010 VII,60.33
Specification,"Trousers (aged 6-11), jeans type",2010 VIII,60.24
Specification,"Trousers (aged 6-11), jeans type",2010 IX,62.92
Specification,"Trousers (aged 6-11), jeans type",2010 X,64.03
Specification,"Trousers (aged 6-11), jeans type",2010 XI,64.16
Specification,"Trousers (aged 6-11), jeans type",2010 XII,64.43
Specification,"Trousers (aged 6-11), jeans type",2011 I,62.71
Specification,"Trousers (aged 6-11), jeans type",2011 II,61.95
Specification,"Trousers (aged 6-11), jeans type",2011 III,65.96
Specification,"Trousers (aged 6-11), jeans type",2011 IV,65.76
Specification,"Trousers (aged 6-11), jeans type",2011 V,66.26
Specification,"Trousers (aged 6-11), jeans type",2011 VI,65.31
Specification,"Trousers (aged 6-11), jeans type",2011 VII,64.26
Specification,"Trousers (aged 6-11), jeans type",2011 VIII,63.26
Specification,"Trousers (aged 6-11), jeans type",2011 IX,66.17
Specification,"Trousers (aged 6-11), jeans type",2011 X,66.38
Specification,"Trousers (aged 6-11), jeans type",2011 XI,66.40
Specification,"Trousers (aged 6-11), jeans type",2011 XII,66.05
Specification,"Trousers (aged 6-11), jeans type",2012 I,64.05
Specification,"Trousers (aged 6-11), jeans type",2012 II,63.69
Specification,"Trousers (aged 6-11), jeans type",2012 III,67.69
Specification,"Trousers (aged 6-11), jeans type",2012 IV,68.07
Specification,"Trousers (aged 6-11), jeans type",2012 V,68.22
Specification,"Trousers (aged 6-11), jeans type",2012 VI,67.05
Specification,"Trousers (aged 6-11), jeans type",2012 VII,64.97
Specification,"Trousers (aged 6-11), jeans type",2012 VIII,64.50
Specification,"Trousers (aged 6-11), jeans type",2012 IX,67.22
Specification,"Trousers (aged 6-11), jeans type",2012 X,68.42
Specification,"Trousers (aged 6-11), jeans type",2012 XI,68.20
Specification,"Trousers (aged 6-11), jeans type",2012 XII,67.92
Specification,"Trousers (aged 6-11), jeans type",2013 I,65.77
Specification,"Trousers (aged 6-11), jeans type",2013 II,65.38
Specification,"Trousers (aged 6-11), jeans type",2013 III,67.00
Specification,"Trousers (aged 6-11), jeans type",2013 IV,67.44
Specification,"Trousers (aged 6-11), jeans type",2013 V,67.94
Specification,"Trousers (aged 6-11), jeans type",2013 VI,67.29
Specification,"Trousers (aged 6-11), jeans type",2013 VII,66.07
Specification,"Trousers (aged 6-11), jeans type",2013 VIII,65.42
Specification,"Trousers (aged 6-11), jeans type",2013 IX,66.80
Specification,"Trousers (aged 6-11), jeans type",2013 X,67.87
Specification,"Trousers (aged 6-11), jeans type",2013 XI,67.85
Specification,"Trousers (aged 6-11), jeans type",2013 XII,67.39
Specification,"Trousers (aged 6-11), jeans type",2014 I,67.88
Specification,"Trousers (aged 6-11), jeans type",2014 II,67.78
Specification,"Trousers (aged 6-11), jeans type",2014 III,68.78
Specification,"Trousers (aged 6-11), jeans type",2014 IV,68.77
Specification,"Trousers (aged 6-11), jeans type",2014 V,69.26
Specification,"Trousers (aged 6-11), jeans type",2014 VI,67.45
Specification,"Trousers (aged 6-11), jeans type",2014 VII,65.20
Specification,"Trousers (aged 6-11), jeans type",2014 VIII,66.42
Specification,"Trousers (aged 6-11), jeans type",2014 IX,68.28
Specification,"Trousers (aged 6-11), jeans type",2014 X,69.70
Specification,"Trousers (aged 6-11), jeans type",2014 XI,69.36
Specification,"Trousers (aged 6-11), jeans type",2014 XII,68.16
Specification,"Trousers (aged 6-11), jeans type",2015 I,65.53
Specification,"Trousers (aged 6-11), jeans type",2015 II,65.43
Specification,"Trousers (aged 6-11), jeans type",2015 III,68.12
Specification,"Trousers (aged 6-11), jeans type",2015 IV,67.30
Specification,"Trousers (aged 6-11), jeans type",2015 V,66.76
Specification,"Trousers (aged 6-11), jeans type",2015 VI,65.73
Specification,"Trousers (aged 6-11), jeans type",2015 VII,64.55
Specification,"Trousers (aged 6-11), jeans type",2015 VIII,65.61
Specification,"Trousers (aged 6-11), jeans type",2015 IX,67.53
Specification,"Trousers (aged 6-11), jeans type",2015 X,69.36
Specification,"Trousers (aged 6-11), jeans type",2015 XI,68.92
Specification,"Trousers (aged 6-11), jeans type",2015 XII,68.13
Specification,"Trousers (aged 6-11), jeans type",2016 I,66.95
Specification,"Trousers (aged 6-11), jeans type",2016 II,65.89
Specification,"Trousers (aged 6-11), jeans type",2016 III,68.94
Specification,"Trousers (aged 6-11), jeans type",2016 IV,69.75
Specification,"Trousers (aged 6-11), jeans type",2016 V,69.15
Specification,"Trousers (aged 6-11), jeans type",2016 VI,67.90
Specification,"Trousers (aged 6-11), jeans type",2016 VII,65.51
Specification,"Trousers (aged 6-11), jeans type",2016 VIII,67.26
Specification,"Trousers (aged 6-11), jeans type",2016 IX,69.91
Specification,"Trousers (aged 6-11), jeans type",2016 X,70.64
Specification,"Trousers (aged 6-11), jeans type",2016 XI,69.25
Specification,"Trousers (aged 6-11), jeans type",2016 XII,68.78
Specification,"Trousers (aged 6-11), jeans type",2017 I,65.32
Specification,"Trousers (aged 6-11), jeans type",2017 II,65.60
Specification,"Trousers (aged 6-11), jeans type",2017 III,68.05
Specification,"Trousers (aged 6-11), jeans type",2017 IV,68.91
Specification,"Trousers (aged 6-11), jeans type",2017 V,68.52
Specification,"Trousers (aged 6-11), jeans type",2017 VI,66.42
Specification,"Trousers (aged 6-11), jeans type",2017 VII,64.00
Specification,"Trousers (aged 6-11), jeans type",2017 VIII,64.83
Specification,"Trousers (aged 6-11), jeans type",2017 IX,68.34
Specification,"Trousers (aged 6-11), jeans type",2017 X,68.59
Specification,"Trousers (aged 6-11), jeans type",2017 XI,69.50
Specification,"Trousers (aged 6-11), jeans type",2017 XII,68.09
Specification,"Trousers (aged 6-11), jeans type",2018 I,66.93
Specification,"Trousers (aged 6-11), jeans type",2018 II,68.02
Specification,"Trousers (aged 6-11), jeans type",2018 III,70.20
Specification,"Trousers (aged 6-11), jeans type",2018 IV,71.00
Specification,"Trousers (aged 6-11), jeans type",2018 V,69.93
Specification,"Trousers (aged 6-11), jeans type",2018 VI,66.57
Specification,"Trousers (aged 6-11), jeans type",2018 VII,63.99
Specification,"Trousers (aged 6-11), jeans type",2018 VIII,65.57
Specification,"Trousers (aged 6-11), jeans type",2018 IX,69.14
Specification,"Trousers (aged 6-11), jeans type",2018 X,69.02
Specification,"Trousers (aged 6-11), jeans type",2018 XI,69.00
Specification,"Trousers (aged 6-11), jeans type",2018 XII,66.78
Specification,"Trousers (aged 6-11), jeans type",2019 I,64.43
Specification,"Trousers (aged 6-11), jeans type",2019 II,65.07
Specification,"Trousers (aged 6-11), jeans type",2019 III,69.07
Specification,"Trousers (aged 6-11), jeans type",2019 IV,67.95
Specification,"Trousers (aged 6-11), jeans type",2019 V,68.21
Specification,"Trousers (aged 6-11), jeans type",2019 VI,66.53
Specification,"Trousers (aged 6-11), jeans type",2019 VII,62.33
Specification,"Trousers (aged 6-11), jeans type",2019 VIII,64.25
Specification,"Trousers (aged 6-11), jeans type",2019 IX,68.89
Specification,"Trousers (aged 6-11), jeans type",2019 X,70.42
Specification,"Trousers (aged 6-11), jeans type",2019 XI,69.26
Specification,"Trousers (aged 6-11), jeans type",2019 XII,69.53
Specification,"Trousers (aged 6-11), jeans type",2020 I,63.88
Specification,"Trousers (aged 6-11), jeans type",2020 II,65.29
Specification,"Trousers (aged 6-11), jeans type",2020 III,70.09
Specification,"Trousers (aged 6-11), jeans type",2020 IV,66.39
Specification,"Trousers (aged 6-11), jeans type",2020 V,65.68
Specification,"Trousers (aged 6-11), jeans type",2020 VI,66.11
Specification,"Trousers (aged 6-11), jeans type",2020 VII,65.09
Specification,"Trousers (aged 6-11), jeans type",2020 VIII,64.19
Specification,"Trousers (aged 6-11), jeans type",2020 IX,67.59
Specification,"Trousers (aged 6-11), jeans type",2020 X,68.48
Specification,"Trousers (aged 6-11), jeans type",2020 XI,67.38
Specification,"Trousers (aged 6-11), jeans type",2020 XII,66.47
Specification,"Trousers (aged 6-11), jeans type",2021 I,63.37
Specification,"Trousers (aged 6-11), jeans type",2021 II,64.10
Specification,"Trousers (aged 6-11), jeans type",2021 III,66.30
Specification,"Trousers (aged 6-11), jeans type",2021 IV,66.44
Specification,"Trousers (aged 6-11), jeans type",2021 V,66.88
Specification,"Trousers (aged 6-11), jeans type",2021 VI,64.28
Specification,"Trousers (aged 6-11), jeans type",2021 VII,62.41
Specification,"Trousers (aged 6-11), jeans type",2021 VIII,65.19
Specification,"Trousers (aged 6-11), jeans type",2021 IX,67.77
Specification,"Trousers (aged 6-11), jeans type",2021 X,69.80
Specification,"Trousers (aged 6-11), jeans type",2021 XI,70.31
Specification,"Trousers (aged 6-11), jeans type",2021 XII,69.90
Specification,"Trousers (aged 6-11), jeans type",2022 I,65.61
Specification,"Trousers (aged 6-11), jeans type",2022 II,64.60
